acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-7470.0,14186.0,1105.0,-0.1,-0.0,0.78
-7505.0,14380.0,1169.0,-0.1,0.01,0.79
-7292.0,14666.0,1315.0,-0.09,0.03,0.79
-7248.0,14564.0,1094.0,-0.08,0.02,0.78
-7158.0,14175.0,946.0,-0.08,-0.0,0.77
-7294.0,14017.0,925.0,-0.09,-0.01,0.77
-7177.0,13713.0,821.0,-0.08,-0.03,0.76
-7177.0,13713.0,821.0,-0.08,-0.03,0.76
-7014.0,13343.0,771.0,-0.07,-0.05,0.76
-7015.0,13851.0,911.0,-0.07,-0.02,0.77
-7015.0,13851.0,911.0,-0.07,-0.02,0.77
-7015.0,13851.0,911.0,-0.07,-0.02,0.77
-7000.0,14359.0,553.0,-0.07,0.01,0.75
-6939.0,14328.0,165.0,-0.07,0.01,0.72
-6939.0,14328.0,165.0,-0.07,0.01,0.72
-6939.0,14328.0,165.0,-0.07,0.01,0.72
-7372.0,14265.0,-929.0,-0.09,0.0,0.66
-7372.0,14265.0,-929.0,-0.09,0.0,0.66
-9204.0,15289.0,-659.0,-0.2,0.07,0.67
